epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02459,2.56213,5.43614,3.0945,0.00077,0.06667,0.00472,0.00047,2.83697,4.56331,2.65647,6.67e-06,6.67e-06,6.67e-06
2,4.97322,2.60199,5.4523,3.29698,0.00072,0.06667,0.00582,0.00116,2.91189,4.5404,2.71864,1.98119e-05,1.98119e-05,1.98119e-05
3,9.18888,3.15926,4.98125,2.63202,0,0,0,0,2.16645,4.51979,2.47947,3.26897e-05,3.26897e-05,3.26897e-05
4,12.0339,2.89166,5.73446,2.66627,0,0,0,0,2.05115,4.48933,2.51174,4.53033e-05,4.53033e-05,4.53033e-05
5,15.0143,2.22881,4.76479,2.18691,0,0,0,0,1.64861,4.44409,2.3394,5.76528e-05,5.76528e-05,5.76528e-05
6,17.954,1.6904,4.69638,1.72571,0,0,0,0,1.27006,4.29869,1.98014,6.97382e-05,6.97382e-05,6.97382e-05
7,20.8496,1.64714,4.48246,1.63502,0.00042,0.06667,0.00028,0.00026,1.05816,4.1492,1.70205,8.15594e-05,8.15594e-05,8.15594e-05
8,23.7422,1.13019,4.49459,1.24493,0.00082,0.13333,0.00132,0.00119,0.87455,4.02655,1.56175,9.31165e-05,9.31165e-05,9.31165e-05
9,26.7541,1.13481,4.12564,1.23238,0.00117,0.2,0.00594,0.00512,0.85003,3.95977,1.60531,0.00010441,0.00010441,0.00010441
10,30.9075,1.10634,4.31445,1.17053,0.00122,0.2,0.00556,0.00494,0.8512,3.96392,1.60904,0.000115438,0.000115438,0.000115438
11,33.8212,1.30143,4.40697,1.41561,0.00183,0.26667,0.02815,0.02435,0.84714,3.83972,1.70427,0.000126203,0.000126203,0.000126203
12,37.7633,1.3035,4.36458,1.17024,0.00426,0.46667,0.10266,0.08354,0.81429,3.70053,1.71785,0.000136704,0.000136704,0.000136704
13,41.6521,0.96726,3.81868,1.22512,0.417,0.13333,0.12866,0.10596,0.80416,3.53226,1.8375,0.00014694,0.00014694,0.00014694
14,45.6168,1.08541,3.87179,1.47949,0.8,0.1146,0.20186,0.16359,0.84987,3.42306,2.07018,0.000156912,0.000156912,0.000156912
