epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5174,1.94985,1.71878,1.50431,0.90426,0.27147,0.45556,0.29653,1.61225,5.14877,2.70625,0,0,0
2,26.2208,1.82228,1.52946,1.69452,0.90576,0.30053,0.43143,0.27474,1.55962,4.61338,2.66626,5.20793e-06,5.20793e-06,5.20793e-06
3,37.4554,1.17771,1.98277,1.48293,0.89504,0.41667,0.42741,0.30429,1.487,4.11644,2.54781,1.03117e-05,1.03117e-05,1.03117e-05
4,49.4219,1.80849,1.40342,1.70059,0.9333,0.41667,0.42917,0.30584,1.42928,3.7228,2.50058,1.53113e-05,1.53113e-05,1.53113e-05
5,61.0235,1.79845,1.45662,2.14348,0.91465,0.41667,0.47389,0.35326,1.39433,3.42358,2.45393,2.02068e-05,2.02068e-05,2.02068e-05
6,72.491,1.72345,2.09958,2.03221,0.9082,0.41667,0.48197,0.35911,1.36458,3.21796,2.39654,2.49982e-05,2.49982e-05,2.49982e-05
7,84.2292,1.37148,0.97158,1.26388,0.93155,0.4761,0.50561,0.39181,1.3563,3.00491,2.34178,2.96853e-05,2.96853e-05,2.96853e-05
8,95.6033,0.97766,1.10354,2.07812,0.9288,0.48164,0.54622,0.42087,1.35051,2.74219,2.24101,3.42684e-05,3.42684e-05,3.42684e-05
9,106.796,1.51911,1.0197,1.26441,0.92858,0.48191,0.55903,0.43726,1.31257,2.60897,2.18787,3.87473e-05,3.87473e-05,3.87473e-05
10,117.832,1.27928,1.20687,1.29526,0.92875,0.48435,0.56954,0.44229,1.29906,2.48629,2.10651,4.3122e-05,4.3122e-05,4.3122e-05
11,128.91,1.2658,1.305,1.32909,0.93008,0.49037,0.61289,0.4636,1.30102,2.32323,2.0356,4.73926e-05,4.73926e-05,4.73926e-05
12,140.226,1.28703,1.14565,1.54289,0.93577,0.49999,0.66736,0.49266,1.28884,2.17801,1.97816,5.1559e-05,5.1559e-05,5.1559e-05
13,151.391,1.36127,0.78146,1.08508,0.92922,0.5,0.83333,0.56493,1.26189,2.0323,1.90764,5.56213e-05,5.56213e-05,5.56213e-05
14,162.449,0.92502,0.71919,1.64218,0.93675,0.5,0.83775,0.57526,1.23425,1.92777,1.8618,5.95795e-05,5.95795e-05,5.95795e-05
15,173.749,1.41674,0.89086,1.36961,0.94136,0.5,0.83741,0.58568,1.20888,1.82945,1.80026,6.34335e-05,6.34335e-05,6.34335e-05
16,184.708,1.1462,0.87585,1.2243,0.94538,0.5,0.83713,0.5854,1.18775,1.7688,1.77096,6.71834e-05,6.71834e-05,6.71834e-05
17,194.258,1.04225,0.64702,1.24743,0.94974,0.5,0.83741,0.59673,1.16789,1.71608,1.75446,7.08291e-05,7.08291e-05,7.08291e-05
18,204.796,1.08152,0.67845,1.22957,0.94974,0.5,0.83741,0.59673,1.16789,1.71608,1.75446,7.43706e-05,7.43706e-05,7.43706e-05
19,215.648,1.28106,0.71864,1.21688,0.95734,0.5,0.83834,0.63749,1.13285,1.65571,1.72886,7.7808e-05,7.7808e-05,7.7808e-05
20,226.387,1.09174,0.6671,1.39702,0.95734,0.5,0.83834,0.63749,1.13285,1.65571,1.72886,8.11413e-05,8.11413e-05,8.11413e-05
21,237.576,1.05704,0.71351,1.38362,0.80817,0.5,0.83893,0.65217,1.10029,1.6205,1.72018,8.43704e-05,8.43704e-05,8.43704e-05
22,247.939,1.12943,0.77816,1.71523,0.80817,0.5,0.83893,0.65217,1.10029,1.6205,1.72018,8.74954e-05,8.74954e-05,8.74954e-05
23,258.607,1.0987,0.71677,1.54731,0.77081,0.83333,0.84107,0.65308,1.05537,1.56014,1.70895,9.05162e-05,9.05162e-05,9.05162e-05
24,269.472,0.97965,0.6888,1.22833,0.77081,0.83333,0.84107,0.65308,1.05537,1.56014,1.70895,9.34329e-05,9.34329e-05,9.34329e-05
25,280.431,1.09197,0.67895,1.27139,0.72499,0.83333,0.84153,0.65327,1.00877,1.52146,1.7057,9.62454e-05,9.62454e-05,9.62454e-05
26,291.503,0.85819,0.63463,1.12562,0.72499,0.83333,0.84153,0.65327,1.00877,1.52146,1.7057,9.89537e-05,9.89537e-05,9.89537e-05
27,302.546,0.98477,0.71613,1.25773,0.70478,0.83333,0.84092,0.65294,0.9754,1.49784,1.71512,0.000101558,0.000101558,0.000101558
28,312.119,1.06071,0.6674,1.30276,0.70478,0.83333,0.84092,0.65294,0.9754,1.49784,1.71512,0.000104058,0.000104058,0.000104058
29,321.806,0.88403,0.65551,1.10334,0.68352,0.83333,0.8435,0.67284,0.96251,1.49361,1.71348,0.000106454,0.000106454,0.000106454
30,332.604,0.91665,0.62837,1.48461,0.68352,0.83333,0.8435,0.67284,0.96251,1.49361,1.71348,0.000108746,0.000108746,0.000108746
31,343.218,1.01116,0.64737,1.11774,0.67529,0.83333,0.8415,0.6645,0.96922,1.51345,1.7217,0.000110933,0.000110933,0.000110933
32,352.618,0.67876,0.64473,1.13776,0.67529,0.83333,0.8415,0.6645,0.96922,1.51345,1.7217,0.000113017,0.000113017,0.000113017
33,362.256,0.66654,0.64567,1.24406,0.68287,0.83333,0.84424,0.66585,1.00472,1.49945,1.81218,0.000114996,0.000114996,0.000114996
34,371.554,0.97045,0.65805,1.49935,0.68287,0.83333,0.84424,0.66585,1.00472,1.49945,1.81218,0.000116871,0.000116871,0.000116871
35,381.342,0.97121,0.69548,1.34987,0.67946,0.83333,0.84352,0.65464,0.98638,1.49058,1.8364,0.000118642,0.000118642,0.000118642
36,390.876,0.70629,0.53629,1.26856,0.67946,0.83333,0.84352,0.65464,0.98638,1.49058,1.8364,0.000120309,0.000120309,0.000120309
37,400.298,0.91902,0.61884,1.31246,0.68821,0.83333,0.84528,0.66645,0.97177,1.47176,1.84054,0.000121872,0.000121872,0.000121872
38,409.593,0.41669,0.42915,0.98245,0.68821,0.83333,0.84528,0.66645,0.97177,1.47176,1.84054,0.000123331,0.000123331,0.000123331
39,419.343,0.90474,0.65367,1.29772,0.67759,0.83333,0.84902,0.66839,0.9625,1.44997,1.8457,0.000124685,0.000124685,0.000124685
40,428.691,1.12157,0.63217,1.23303,0.67759,0.83333,0.84902,0.66839,0.9625,1.44997,1.8457,0.000125935,0.000125935,0.000125935
41,438.218,0.73313,0.55268,1.35505,0.65454,0.83333,0.85081,0.6694,0.95215,1.42086,1.88141,0.000127082,0.000127082,0.000127082
42,447.614,0.38528,0.41237,1.16432,0.65454,0.83333,0.85081,0.6694,0.95215,1.42086,1.88141,0.000128124,0.000128124,0.000128124
43,457.319,0.66338,0.55005,1.00814,0.64466,0.83333,0.8578,0.67292,0.95699,1.41056,1.88229,0.000129061,0.000129061,0.000129061
44,467.782,0.84612,0.55291,1.16992,0.64466,0.83333,0.8578,0.67292,0.95699,1.41056,1.88229,0.000129895,0.000129895,0.000129895
45,478.72,0.88945,0.57547,0.91805,0.64417,0.83333,0.85511,0.67408,0.95122,1.41373,1.88271,0.000130625,0.000130625,0.000130625
46,489.264,0.85259,0.57264,1.2541,0.64417,0.83333,0.85511,0.67408,0.95122,1.41373,1.88271,0.00013125,0.00013125,0.00013125
47,500.139,0.47714,0.44829,0.97601,0.64189,0.83333,0.858,0.67587,0.94394,1.4178,1.88304,0.000131771,0.000131771,0.000131771
48,511.088,0.86751,0.59958,1.36041,0.64189,0.83333,0.858,0.67587,0.94394,1.4178,1.88304,0.000132189,0.000132189,0.000132189
49,521.934,0.82313,0.55196,1.53785,0.64026,0.83333,0.85811,0.676,0.94174,1.39622,1.83398,0.000132502,0.000132502,0.000132502
50,532.655,0.66914,0.5273,1.16595,0.64026,0.83333,0.85811,0.676,0.94174,1.39622,1.83398,0.00013271,0.00013271,0.00013271
51,543.488,0.62804,0.46526,1.02312,0.6431,0.83333,0.85546,0.67449,0.93684,1.39011,1.806,0.000132815,0.000132815,0.000132815
52,552.886,0.54195,0.45483,1.14764,0.6431,0.83333,0.85546,0.67449,0.93684,1.39011,1.806,0.000132816,0.000132816,0.000132816
53,562.458,0.70392,0.50356,1.1603,0.6431,0.83333,0.85546,0.67449,0.93684,1.39011,1.806,0.000132712,0.000132712,0.000132712
54,572.118,0.8953,0.56308,1.39135,0.64836,0.83333,0.85599,0.67501,0.91503,1.35289,1.78512,0.000132504,0.000132504,0.000132504
55,581.409,0.60745,0.47155,1.2061,0.64836,0.83333,0.85599,0.67501,0.91503,1.35289,1.78512,0.000132192,0.000132192,0.000132192
56,590.981,0.51669,0.44533,1.1462,0.64836,0.83333,0.85599,0.67501,0.91503,1.35289,1.78512,0.000131776,0.000131776,0.000131776
